C.D.S.  -  SIMBAD4 rel 1.7  -  2019.03.13CET12:46:57

V < 4 & cat = 'hip'
-------------------

Number of objects : 512

 # |       identifier        |typ|       coord1 (ICRS,J2000/2000)        |Mag U |Mag B |Mag V |Mag R |Mag I |      spec. type      |#bib|#not
64 |* tet UMa                |SB*|09 32 51.4338939 +51 40 38.281102      | 3.67 | 3.64 | 3.18 | 2.74 | 2.47 |F7V                   | 377|   1
65 |* kap UMa                |** |09 03 37.52762 +47 09 23.4890          |     ~| 3.55 | 3.55 |     ~|     ~|A1Vn                  | 160|   0
66 |* iot UMa                |** |08 59 12.45362 +48 02 30.5741          | 3.40 | 3.33 | 3.14 | 2.92 | 2.85 |A6                    | 278|   0
67 |* gam UMa                |Em*|11 53 49.8473166 +53 41 41.135025      | 2.440| 2.450| 2.440| 2.44 | 2.47 |A0Ve+K2V              | 373|   0
68 |* eta UMa                |PM*|13 47 32.43776 +49 18 47.7602          | 0.99 | 1.67 | 1.86 | 1.98 | 2.16 |B3V                   | 574|   0
69 |* 10 UMa                 |SB*|09 00 38.38067 +41 46 58.6051          | 4.440| 4.390| 3.960| 3.57 | 3.35 |F3V+G5V               | 319|   0
70 |* bet Boo                |Fl*|15 01 56.7623786 +40 23 26.040607      | 5.21 | 4.47 | 3.52 | 2.85 | 2.37 |G8IIIaFe-0.5          | 236|   0
71 |* chi UMa                |PM*|11 46 03.0140741 +47 46 45.862653      | 6.06 | 4.90 | 3.72 | 2.84 | 2.24 |K0.5IIIb:             | 196|   0
72 |* gam Boo                |dS*|14 32 04.6717964 +38 18 29.704270      | 3.33 | 3.21 | 3.02 | 2.88 | 2.80 |A7IV+(n)              | 224|   0
73 |* psi UMa                |PM*|11 09 39.8086764 +44 29 54.552050      | 5.27 | 4.15 | 3.01 | 2.18 | 1.61 |K1III                 | 254|   0
74 |* lam UMa                |PM*|10 17 05.7736525022 +42 54 51.766171028| 3.54 | 3.48 | 3.45 | 3.37 | 3.38 |A1IV                  | 171|   0
75 |* alf Cet                |LP?|03 02 16.77307 +04 05 23.0596          | 6.10 | 4.17 | 2.53 | 1.18 | 0.02 |M1.5IIIa              | 432|   0
76 |* tau04 Eri              |LP*|03 19 31.0022373 -21 45 28.304953      | 7.13 | 5.32 | 3.70 | 2.12 | 0.66 |M3III-IIIaCa-1        |  99|   0
77 |* alf For                |** |03 12 04.5273570 -28 59 15.433684      | 4.41 | 4.36 | 3.85 | 3.39 | 3.08 |F6V+G7V               | 234|   0
78 |* omi Tau                |SB*|03 24 48.7914590778 +09 01 43.994132248| 5.090| 4.490| 3.600| 2.92 | 2.47 |G6III                 | 210|   0
79 |* ksi Tau                |EB*|03 27 10.1384893130 +09 43 57.862146153| 3.33 | 3.66 | 3.75 | 3.76 | 3.85 |B9Vn                  | 174|   0
80 |* eps Eri                |BY*|03 32 55.8449634 -09 27 29.731165      | 5.19 | 4.61 | 3.73 | 3.00 | 2.54 |K2V                   |1626|   1
81 |* omi Per                |SB*|03 44 19.13204 +32 17 17.6929          | 3.13 | 3.88 | 3.83 | 3.71 | 3.71 |B1III                 | 562|   1
82 |* 17 Tau                 |Be*|03 44 52.5368818 +24 06 48.011217      | 3.19 | 3.59 | 3.70 | 3.71 | 3.80 |B6IIIe                | 365|   1
83 |* del Eri                |RS*|03 43 14.9008787 -09 45 48.208444      | 5.13 | 4.46 | 3.54 | 2.82 | 2.32 |K0+IV                 | 525|   0
84 |* zet Per                |V* |03 54 07.9224751 +31 53 01.081262      | 2.19 | 2.97 | 2.85 | 2.71 | 2.62 |B1Ib                  | 801|   0
85 |* 20 Tau                 |PM*|03 45 49.6065620 +24 22 03.886360      | 3.40 | 3.80 | 3.87 | 3.85 | 3.90 |B8III                 | 389|   1
86 |* 27 Tau                 |SB*|03 49 09.7425852 +24 03 12.300277      | 3.18 | 3.54 | 3.63 | 3.62 | 3.68 |B8III                 | 350|   1
87 |* eta Tau                |Be*|03 47 29.0765529 +24 06 18.488347      | 2.44 | 2.78 | 2.87 | 2.84 | 2.88 |B7III                 | 501|   1
88 |* eps Per                |bC*|03 57 51.2320472 +40 00 36.775143      | 1.71 | 2.71 | 2.89 | 2.96 | 3.14 |B1.5III               | 490|   0
